CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR;CONDICION_DE_HABITABILIDAD
TQRMNORSWHLMLTCDEIJAH00807160;2024;2;1;1;1;S;33;794;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;2;2;0;2;0;1;;1;;2;1;1;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;892000;7;;7;7;;7;223000;5;;5;5;;6;1683;1;0;98;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOXUQHLKLUCDEIJAH00807161;2024;2;1;1;1;S;33;158;2;;1;1;;2;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;1;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOQPSHMLLQCDEIJAH00802189;2024;2;1;1;1;S;33;267;1;;3;1;;3;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;4;1;3;980000;8;;7;7;;8;245000;5;;5;5;;6;539;1;2;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNORSRHMLLQCDEIJAH00802190;2024;2;1;1;1;S;33;277;1;;4;1;;4;1;1;2;;1;1;1;3;2;2;2;4;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;160000;1;;1;1;;1;53333,33;1;;1;1;;1;412;1;2;98;0;0;0;Nuclear;Material durable;Bajo;Saludable
TQRMNOTURHMOLRCDEIJAH00802191;2024;2;1;1;1;S;33;1252;1;;2;2;;5;2;1;1;;1;1;2;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;2;3;0;0;Nuclear;Material durable;Medio;Saludable
TQRMNOPWYHMMLSCDEIJAH00858579;2024;2;1;1;1;S;33;773;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;0;1;300000;2;;2;2;;2;300000;6;;6;6;;7;1218;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOTQSHJMMSCDEIJAH00861773;2024;2;1;1;1;S;33;1056;1;;2;1;;4;1;1;2;;1;1;1;2;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1120000;8;;8;8;;8;280000;6;;6;6;;7;2179;3;0;2;1;0;0;Nuclear;Material durable;Medio;Saludable
TQRMNOSSPHLMMLCDEIJAH00807514;2024;2;1;1;1;S;33;1595;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;531000;5;;4;4;;5;265500;6;;6;6;;6;3640;2;0;98;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOSXSHLNMNCDEIJAH00861774;2024;2;1;1;1;S;33;3266;1;;3;1;;4;1;1;1;;1;1;1;3;2;1;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;5;2;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;Extendido;Material durable;Medio;Saludable
TQRMNOQWPHJMLMCDEIJAH00861775;2024;2;1;1;1;S;33;2261;1;;3;1;;3;1;1;1;;1;1;1;1;2;1;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;240000;2;;2;1;;2;240000;5;;5;5;;6;2821;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOSSRHMMKSCDEIJAH00858505;2024;2;1;1;1;S;33;2522;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;800000;7;;6;6;;7;800000;10;;10;10;;10;2615;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOQWTHJKLNCDEIJAH00861776;2024;2;1;1;1;S;33;1543;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;2;2;2700000;10;;10;10;;10;675000;9;;9;9;;10;2943;1;2;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOSPYHJMLPCDEIJAH00861777;2024;2;1;1;1;S;33;1827;1;;2;1;;3;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOPPVHLNKSCDEIJAH00812619;2024;2;1;1;1;S;33;2775;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;441000;4;;3;4;;4;147000;3;;3;3;;3;5330;1;0;96;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNORUVHLOKTCDEIJAH00807191;2024;2;1;1;1;S;33;250;1;;4;2;;4;1;1;2;;1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;600000;5;;5;5;;5;85714,29;1;;1;1;;2;609;3;0;98;0;0;0;Extendido;Material durable;Medio;Buena
TQRMNOTVQHLMKUCDEIJAH00807193;2024;2;1;1;1;S;33;181;1;;2;2;;2;1;1;2;;1;1;2;3;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Nuclear;Material durable;Medio;Regular
TQRMNOPVQHLMLLCDEIJAH00807194;2024;2;1;1;1;S;33;4588;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;4;1;2;0;2;2;2;0;0;0;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;600000;5;;5;5;;5;150000;3;;3;3;;3;9723;1;0;2;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOSYRHJOLTCDEIJAH00861778;2024;2;1;1;1;S;33;3771;1;;3;1;;4;2;1;1;;1;1;2;3;2;1;2;3;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;7;2;5;472000;4;;4;4;;4;67428,57;1;;1;1;;1;6363;1;0;2;3;0;0;Extendido;Material durable;Alto;Regular
